Nº,Tempo de execução,Etapa,Ação realizada,Resultado esperado,Resultado encontrado,Dúvida do operador,Dificuldade encontrada,Erro encontrado,Severidade percebida,Observações,Sugestão do operador
1,,Acessar o módulo NBI,,,,,,,,,
2,,Conferir dados institucionais,,,,,,,,,
3,,Iniciar Nova NBI,,,,,,,,,
4,,Assunto simples (Férias),,,,,,,,,
5,,Interpretação por frase,,,,,,,,,
6,,Múltiplos assuntos,,,,,,,,,
7,,Avisos de consistência,,,,,,,,,
8,,Avançar para conferência,,,,,,,,,
9,,Bloqueios / alertas / sugestões,,,,,,,,,
10,,Salvar rascunho,,,,,,,,,
11,,Sair e restaurar rascunho,,,,,,,,,
12,,Gerar a NBI,,,,,,,,,
13,,Baixar o DOCX,,,,,,,,,
14,,Consultar Histórico,,,,,,,,,
15,,Consultar Pendências,,,,,,,,,
